subj_idx,flashpres,beeppres,response,rt,stimName,type
1.0,3.0,0.0,1.0,1.3416062900000725,F3,u
1.0,3.0,0.0,1.0,1.9674264809998476,F3,u
1.0,3.0,0.0,1.0,0.869609366000077,F3,u
1.0,3.0,0.0,1.0,1.1674048729998958,F3,u
1.0,3.0,0.0,1.0,1.0505081769999833,F3,u
1.0,3.0,0.0,1.0,0.7875019170000996,F3,u
1.0,2.0,0.0,1.0,0.9222160269998767,F2,u
1.0,3.0,0.0,1.0,0.7890666030000375,F3,u
1.0,2.0,0.0,1.0,0.9073751170001287,F2,u
1.0,3.0,0.0,1.0,1.0700622580000072,F3,u
1.0,2.0,0.0,1.0,0.8574166260000311,F2,u
1.0,2.0,0.0,1.0,1.4455471680000755,F2,u
1.0,3.0,0.0,1.0,2.8523506920000727,F3,u
1.0,2.0,0.0,1.0,0.950702819000071,F2,u
1.0,3.0,0.0,1.0,4.58238653300009,F3,u
1.0,2.0,0.0,0.0,5.666453664000073,F2,u
1.0,3.0,0.0,0.0,0.9074574659998689,F3,u
1.0,2.0,0.0,1.0,5.507307572999935,F2,u
1.0,2.0,0.0,1.0,0.8478534180001134,F2,u
1.0,2.0,0.0,1.0,0.8610943650000991,F2,u
1.0,2.0,0.0,1.0,1.364628896000113,F2,u
1.0,3.0,0.0,1.0,1.5893070090000947,F3,u
1.0,3.0,0.0,0.0,1.2069089609999537,F3,u
1.0,3.0,0.0,0.0,1.4172548760002428,F3,u
1.0,3.0,0.0,1.0,3.456766278000032,F3,u
1.0,3.0,0.0,0.0,0.7679749809999521,F3,u
1.0,2.0,0.0,1.0,1.1008476309998514,F2,u
1.0,3.0,0.0,0.0,0.7616349679997256,F3,u
1.0,2.0,0.0,1.0,1.2553154500001256,F2,u
1.0,3.0,0.0,0.0,1.8353593070000898,F3,u
1.0,3.0,0.0,1.0,2.2364953719998084,F3,u
1.0,3.0,0.0,0.0,1.6840370879999682,F3,u
1.0,2.0,0.0,1.0,1.5396383749998677,F2,u
1.0,3.0,0.0,0.0,0.807260782999947,F3,u
1.0,2.0,0.0,1.0,1.2512098809997951,F2,u
1.0,2.0,0.0,1.0,0.575784793999901,F2,u
1.0,3.0,0.0,0.0,0.6843590329999643,F3,u
1.0,3.0,0.0,0.0,0.9165275849995851,F3,u
1.0,2.0,0.0,1.0,0.8000807250000435,F2,u
1.0,2.0,0.0,1.0,0.8912860750001528,F2,u
1.0,3.0,0.0,1.0,1.9549498840001434,F3,u
1.0,2.0,0.0,1.0,0.7142123349999565,F2,u
1.0,3.0,0.0,1.0,1.5573620320001282,F3,u
1.0,3.0,0.0,1.0,0.913358326999969,F3,u
1.0,2.0,0.0,0.0,1.9682608560001427,F2,u
1.0,3.0,0.0,0.0,0.6749214060000668,F3,u
1.0,2.0,0.0,1.0,1.0619180589997086,F2,u
1.0,3.0,0.0,1.0,2.0973159579998537,F3,u
1.0,2.0,0.0,1.0,0.7176048169999376,F2,u
1.0,2.0,0.0,1.0,0.8097104720000061,F2,u
1.0,2.0,0.0,1.0,0.6692047060000732,F2,u
1.0,3.0,0.0,1.0,1.4432511499999237,F3,u
1.0,2.0,0.0,1.0,0.7066660500004218,F2,u
1.0,2.0,0.0,1.0,0.7598787769998125,F2,u
1.0,3.0,0.0,0.0,1.063933286000065,F3,u
1.0,3.0,0.0,0.0,0.9418596040000011,F3,u
1.0,3.0,0.0,0.0,0.649746414999754,F3,u
1.0,2.0,0.0,0.0,0.8240705859998343,F2,u
1.0,2.0,0.0,1.0,0.8800538579998829,F2,u
1.0,2.0,0.0,1.0,0.9929940259999057,F2,u
1.0,2.0,0.0,1.0,0.6108905920000325,F2,u
1.0,2.0,0.0,1.0,0.81669940699976,F2,u
1.0,2.0,0.0,1.0,0.675347648999832,F2,u
1.0,2.0,0.0,1.0,1.6878333760000714,F2,u
1.0,2.0,0.0,1.0,0.8003172389999236,F2,u
1.0,2.0,0.0,1.0,0.7340613050000684,F2,u
1.0,2.0,0.0,1.0,0.7882889959996646,F2,u
1.0,3.0,0.0,1.0,1.428400412999963,F3,u
1.0,3.0,0.0,0.0,1.2039268190001167,F3,u
1.0,2.0,0.0,1.0,0.8106489189999593,F2,u
1.0,3.0,0.0,0.0,2.6132296369996766,F3,u
1.0,3.0,0.0,0.0,4.981207286999961,F3,u
1.0,3.0,0.0,0.0,0.7500448999999207,F3,u
1.0,2.0,0.0,1.0,0.7362022610000167,F2,u
1.0,2.0,0.0,1.0,0.8104922889997397,F2,u
1.0,3.0,0.0,0.0,1.8673796430002767,F3,u
1.0,3.0,0.0,1.0,1.2497900479997952,F3,u
1.0,2.0,0.0,1.0,0.6569513330000518,F2,u
1.0,2.0,0.0,1.0,0.6532107549996908,F2,u
1.0,2.0,0.0,1.0,1.8418641929997648,F2,u
1.0,2.0,0.0,1.0,0.7132649160002984,F2,u
1.0,3.0,0.0,1.0,0.884958523000023,F3,u
1.0,2.0,0.0,1.0,0.8237999400002991,F2,u
1.0,3.0,0.0,1.0,3.4640730369997073,F3,u
1.0,2.0,0.0,0.0,1.3732563459998346,F2,u
1.0,2.0,0.0,1.0,0.8056139230002373,F2,u
1.0,3.0,0.0,0.0,0.9937939139999798,F3,u
1.0,2.0,0.0,1.0,0.510253806000037,F2,u
1.0,3.0,0.0,0.0,0.8626583690002008,F3,u
1.0,3.0,0.0,0.0,0.5977228300002935,F3,u
1.0,3.0,0.0,0.0,0.7286029059996508,F3,u
1.0,2.0,0.0,1.0,0.48791124399986074,F2,u
1.0,3.0,0.0,0.0,1.1567676569998184,F3,u
1.0,2.0,0.0,1.0,1.5470974489999207,F2,u
1.0,2.0,0.0,1.0,0.46012908900002003,F2,u
1.0,3.0,0.0,1.0,1.2171712899998965,F3,u
1.0,2.0,0.0,1.0,0.6875175079999281,F2,u
1.0,3.0,0.0,0.0,1.063845868000044,F3,u
1.0,3.0,0.0,0.0,2.4013386830001764,F3,u
1.0,3.0,0.0,0.0,0.6601924820001841,F3,u
